card_name,set_name,number,release_date,recent_price,old_price,trend_pct,recent_volume,avg_volume,volatility,profit_margin,roi_pct,buy_price,label
Spiritomb 148/132,,,,5.3,0.0,0,207,7.711538461538462,2675.7281553398057,-47.0,-47.0,10.0,HOLD
Shroodle 149/132,,,,3.2,0.0,0,188,7.461538461538462,2805.755395683453,-68.0,-68.0,10.0,HOLD
Steelix 150/132,,,,20.04,0.0,0,162,7.596153846153846,2684.1139546112986,100.4,100.4,10.0,SELL
Spearow 151/132,,,,6.42,0.0,0,231,9.711538461538462,2635.9447004608296,-35.8,-35.8,10.0,HOLD
Delibird 152/132,,,,4.6,0.0,0,235,7.8076923076923075,2845.6692913385828,-54.0,-54.0,10.0,HOLD
Gumshoos 153/132,,,,19.98,0.0,0,328,12.846153846153847,2794.4055944055945,99.8,99.8,10.0,SELL
Stufful 154/132,,,,7.45,0.0,0,207,7.326923076923077,2664.659685863874,-25.5,-25.5,10.0,HOLD
Mega Venusaur ex 155/132,,,,20.05,0.0,0,131,6.653846153846154,3164.693218514532,100.50000000000001,100.50000000000001,10.0,SELL
Mega Camerupt ex 156/132,,,,4.12,0.0,0,175,5.884615384615385,2792.808988764045,-58.8,-58.8,10.0,HOLD
Mega Abomasnow ex 157/132,,,,5.03,0.0,0,203,6.480769230769231,2746.341463414634,-49.7,-49.7,10.0,HOLD
Mega Manectric ex 158/132,,,,6.25,0.0,0,160,5.711538461538462,2843.219724437999,-37.5,-37.5,10.0,HOLD
Mega Gardevoir ex 159/132,,,,12.57,0.0,0,193,7.653846153846154,2953.0422825713304,25.7,25.7,10.0,SELL
Mega Lucario ex 160/132,,,,21.81,0.0,0,165,7.153846153846154,3103.65988909427,118.09999999999998,118.09999999999998,10.0,SELL
Mega Absol ex 161/132,,,,8.21,0.0,0,163,6.269230769230769,2648.387096774194,-17.89999999999999,-17.89999999999999,10.0,HOLD
Mega Mawile ex 162/132,,,,6.22,0.0,0,173,6.4423076923076925,2712.0,-37.8,-37.8,10.0,HOLD
Mega Latias ex 163/132,,,,14.91,0.0,0,189,7.980769230769231,2903.820224719101,49.1,49.1,10.0,SELL
